(-80.684801, 35.376563)
(-94.634324, 35.03676)
(-96.389024, 34.01766)
(-85.484925, 40.171889)
(-93.15377, 44.46311)
(-88.544929, 42.906034)
(-92.427718, 46.648862)
(-89.361397, 38.615601)
(-121.898, 36.543)
(-121.330535, 38.629534)
(-83.402072, 43.481087)
(-88.284004, 42.111764)
(-99.119559, 47.455436)
(-80.778, 36.742)
(-90.422568, 38.760115)
(-119.683783, 39.194863)
(-119.683847, 39.194731)
(-83.491888, 36.122268)
(-83.624489, 41.366928)
(-85.250528, 44.537524)
(-91.153603, 40.420787)
(-97.323235, 32.407284)
(-85.272022, 35.043916)
(-92.53556, 44.16049)
(-111.752136, 32.901443)
(-90.577582, 47.684939)
(-116.022364, 44.502628)
(-85.501687, 42.893616)
(-122.990734, 44.910731)
(-87.985371, 39.294226)
(-75.67383, 36.004601)
(-106.306028, 42.86461)
(-83.4766, 42.41545)
(-83.166725, 43.606258)
(-97.225229, 46.903804)
(-88.059282, 41.757411)
(-77.90489, 34.33339)
(-80.9806, 34.8975)
(-96.911152, 33.03514)
(-122.916982, 46.28199)
(-89.973204, 43.88995)
(-83.185285, 35.311032)
(-80.486661, 35.691017)
(-81.704732, 35.761305)
(-80.838389, 34.130048)
(-83.531719, 38.112682)
(-86.495136, 37.573384)
(-156.919449, 20.831107)
(-80.888804, 36.276291)
(-75.351164, 41.052164)
(-105.10774, 39.712319)
(-83.834282, 39.443341)
(-73.340499, 40.63348)
(-95.502745, 29.812721)
(-94.291, 41.029)
(-94.481966, 43.60866)
(-94.481061, 43.608558)
(-94.49168, 43.608123)
(-94.257, 35.911)
(-93.0881, 34.538533)
(-86.748802, 36.271317)
(-78.628799, 35.8592)
(-81.688145, 38.793396)
(-97.835537, 30.476315)
(-94.893672, 39.075436)
(-96.764566, 32.627919)
(-97.733393, 30.491543)
(-91.923, 43.734)
(-79.446859, 35.989466)
(-86.316765, 36.08115)
(-83.812087, 39.756487)
(-83.041259, 29.145739)
(-89.728925, 33.80356)
(-93.601123, 41.905463)
(-119.666852, 36.313171)
(-84.660556, 37.880558)
(-95.264597, 38.96979)
(-97.333278, 38.063158)
(-99.0914, 40.686083)
(-93.870747, 41.600592)
(-83.739152, 41.422607)
(-95.803045, 36.278674)
(-100.378593, 35.917251)
(-95.996553, 43.189996)
(-106.619003, 48.198919)
(-108.57454, 37.351819)
(-95.297374, 29.548104)
(-86.307471, 41.352311)
(-72.717025, 44.376938)
(-90.103995, 32.269635)
(-103.852783, 44.673872)
(-72.528558, 41.777002)
(-92.877806, 40.730129)
(-81.33482, 41.3505)
(-78.740134, 39.677731)
(-98.009244, 41.117975)
(-92.928506, 41.402698)
(-98.32826, 40.5788)
(-94.215934, 46.345719)
(-84.7726, 43.57295)
(-121.350433, 44.070217)
(-93.345886, 45.10709)
(-96.600029, 47.774916)
(-89.954794, 34.973215)
(-96.485198, 43.000564)
(-88.034647, 42.347165)
(-87.952683, 41.835431)
(-104.929364, 40.145329)
(-92.071491, 46.717173)
(-73.910104, 42.801407)
(-84.098123, 34.246531)
(-88.310316, 36.622886)
(-118.51905, 34.432363)
(-84.290283, 35.837746)
(-108.426146, 43.029453)
(-92.126681, 39.209013)
(-104.798933, 39.71421)
(-82.240691, 34.928973)
(-85.813683, 39.162369)
(-97.2697, 37.6529)
(-122.131783, 37.7318)
(-103.00841, 42.705335)
(-88.790994, 33.461735)
(-79.068995, 42.38098)
(-86.150879, 30.485774)
(-93.455171, 45.901718)
(-93.455242, 45.901625)
(-105.757785, 37.988591)
(-86.253914, 37.117296)
(-84.310707, 33.910715)
(-85.241386, 35.028951)
(-88.784618, 33.452975)
(-73.447868, 44.987339)
(-122.885201, 45.250702)
(-96.075987, 36.12856)
(-96.077049, 36.126428)
(-103.338594, 32.938966)
(-118.764453, 34.172856)
(-97.626388, 30.644252)
(-98.159366, 41.024172)
(-86.549665, 34.774791)
(-93.325548, 41.029599)
(-82.370247, 40.757668)
