,name,locality,region,postal_code,latitude,longitude,dgcr_id,year_established,tee_type,basket_type,holes,length,hours_to_play,multiple_layouts,hills,woods,par,sse,difficulty,rating,rating_count
5253,Seymour City Park,Seymour,TX,76380,33.589491,-99.250102,1801,1999,Concrete,DISCatcher,18,4414,2.61,False,1,1,54,44.0,-0.5555555555555556,2.5,6
1351,CSU San Marcos DGC,San Marcos,CA,92078,33.133153,-117.15977,3837,2010,Mixed,DISCatcher,18,4410,2.61,True,1,0,54,40.6,-0.7444444444444444,2.73,20
6594,Will Rogers Park,Oklahoma City,OK,73116,35.50281,-97.579955,860,1979,Concrete,Mach 2,18,4410,2.61,True,1,0,54,42.8,-0.6222222222222223,3.07,37
2647,Hover Links,Hilton Head Island,SC,29928,32.206583,-80.699666,461,2002,Grass,Mach 5,18,4408,2.6,False,0,0,62,41.9,-1.1166666666666667,1.22,30
824,Campgaw Reservation - Green,Mahwah,NJ,07430,41.058268,-74.19525,777,2005,Gravel,DISCatcher,18,4407,2.6,True,2,2,54,49.2,-0.2666666666666665,3.5,28
2980,Kerr Station Park,Cabot,AR,72023,34.9549,-92.0197,5805,2004,Concrete,DISCatcher,18,4406,2.6,False,0,0,54,41.9,-0.6722222222222223,3.43,7
1890,Ferry Park,Fort Walton Beach,FL,32548,30.419222,-86.597175,2709,2008,Concrete,DISCatcher,18,4406,2.6,True,0,1,54,45.3,-0.4833333333333335,3.15,50
6072,Trails DGC,Anderson,SC,29625,34.542948,-82.682966,4054,2010,Concrete,DISCatcher,18,4406,2.6,False,1,2,54,48.0,-0.3333333333333333,3.26,21
4166,O. T. Sloan Park,Sanford,NC,27330,35.469815,-79.155652,1627,1993,Mixed,Mach 3,18,4405,2.6,False,0,2,54,48.0,-0.3333333333333333,2.8,27
2584,Hobson Grove - Original,Bowling Green,KY,42101,37.01155,-86.460789,431,1978,Concrete,Prodigy,18,4400,2.6,False,0,2,55,50.2,-0.2666666666666665,3.42,31
3877,Morgan Sports Complex,Destin,FL,32541,30.38815,-86.459069,8198,2015,Concrete,DISCatcher,18,4400,2.6,False,0,0,54,41.9,-0.6722222222222223,2.17,9
6521,Whispering Pines DGC,Inverness,FL,34450,28.839721,-82.352464,2001,2007,Rubber,Chainstar,18,4393,2.6,False,1,2,55,48.4,-0.36666666666666675,2.77,22
5541,Springdale DGC,Springdale,UT,84767,37.195755,-112.998345,8264,2016,Mixed,Dynamic Recruit,18,4392,2.6,False,1,1,54,44.8,-0.5111111111111113,2.88,4
5093,"Rutgers, Douglass College",New Brunswick,NJ,08901,40.480827,-74.431969,557,1978,Grass,Mach 1,18,4384,2.6,True,1,1,54,44.8,-0.5111111111111113,2.81,35
3870,Moose Mountain DGC,Brookfield,NH,03872,43.540554,-71.080427,6287,2013,Concrete,DISCatcher,18,4384,2.6,True,2,1,58,49.6,-0.46666666666666656,3.5,9
6389,Warrenton Pool Park,Warrenton,MO,63383,38.797768,-91.154155,10230,2018,Gravel,DISCatcher,18,4384,2.6,True,1,2,54,47.9,-0.33888888888888896,3.5,3
1236,Cornerstone University,Grand Rapids,MI,49525,42.981411,-85.600609,4100,2010,Concrete,DISCatcher,18,4382,2.59,False,1,0,54,41.8,-0.6777777777777779,2.85,10
51,Akron Community DGC,Akron,IN,46910,41.037973,-86.029197,8774,2016,Concrete,DISCatcher,18,4377,2.59,False,1,1,61,44.7,-0.9055555555555554,3.83,3
2127,Gaylord DGC,Gaylord,MI,49735,45.020288,-84.664245,7805,2014,Rubber,Chainstar,18,4375,2.59,False,1,1,54,44.7,-0.5166666666666665,2.2,5
138,Arab DGC,Arab,AL,35016,34.320861,-86.480594,9308,2017,Natural,Mach 3,18,4375,2.59,False,0,0,54,41.8,-0.6777777777777779,2.33,3
590,Breezy Point,Breezy Point,MN,56472,46.608559,-94.23018,8058,2015,Rubber,Mach 3,18,4375,2.59,False,2,2,69,47.8,-1.177777777777778,4.0,5
5214,Sea Isle Park,Memphis,TN,38117,35.095205,-89.887255,11154,2019,Mixed,Prodigy,18,4375,2.59,False,0,0,54,41.8,-0.6777777777777779,2.0,1
5810,The Boneyard,Globe,AZ,85501,33.406628,-110.79249,8169,2015,Dirt,DISCatcher,9,4372,2.59,False,1,0,35,29.2,-0.6444444444444445,2.67,3
6257,Valley View Park,New Berlin,WI,53151,42.951035,-88.097922,807,1996,Concrete,Mach 3,18,4371,2.59,True,1,2,54,44.5,-0.5277777777777778,2.83,48
6200,University of Montevallo,Montevallo,AL,35115,33.108034,-86.86637,2508,2007,Grass,Mach New 2,18,4359,2.59,False,1,0,54,41.8,-0.6777777777777779,2.67,15
1305,Crestmont Park,Bloomington,IN,47404,39.177368,-86.547462,338,2000,Concrete,Basket,18,4353,2.58,True,1,1,54,44.2,-0.5444444444444443,3.16,28
1772,Englewood Park,Rocky Mount,NC,27803,35.953471,-77.829664,1240,2002,Concrete,DISCatcher,18,4352,2.58,False,0,1,54,44.4,-0.5333333333333334,2.85,26
2315,Guilford Meadows,Greensboro,NC,27410,36.09888,-79.88822,5909,2012,Rubber,DISCatcher,18,4350,2.58,False,1,1,56,44.6,-0.6333333333333333,2.24,23
4412,Peaks View Park,Lynchburg,VA,24502,37.420183,-79.227316,894,1998,Concrete,Prodigy,18,4350,2.58,True,1,1,54,44.6,-0.5222222222222221,3.16,31
4013,Nestrom Road Park,Whitehall,MI,49461,43.340933,-86.378709,8998,2017,Concrete,DISCatcher,18,4350,2.58,False,1,2,54,47.7,-0.34999999999999987,3.38,4
4938,Rivery Park,Georgetown,TX,78628,30.648057,-97.685001,883,2001,Concrete,DISCatcher,18,4344,2.58,False,1,2,55,47.6,-0.41111111111111104,3.34,44
3341,Lincoln Park,Kenosha,WI,53143,42.569919,-87.832072,7835,2015,Concrete,DISCatcher,18,4340,2.58,False,0,1,54,44.6,-0.5222222222222221,3.25,6
5664,Summit Park,Summit,IL,60501,41.788336,-87.815293,824,2006,Rubber,DISCatcher,18,4338,2.58,False,0,2,65,47.8,-0.9555555555555557,2.48,31
3510,Maconaquah Park,Peru,IN,46970,40.742033,-86.058666,466,1983,Concrete,Spiderweb3,18,4335,2.58,True,2,2,54,48.8,-0.28888888888888903,3.25,18
4809,Reservoir Park,Southern Pines,NC,28387,35.214424,-79.40079,4268,2010,Concrete,DISCatcher,18,4332,2.58,True,0,1,54,44.5,-0.5277777777777778,3.31,27
2281,Greenfield Lake City Park - Front Course,Greenfield,IA,50849,41.295156,-94.475647,1327,2002,Grass,Home Made,18,4327,2.57,False,1,1,54,44.5,-0.5277777777777778,2.25,2
325,Bear Creek DGC,Medford,OR,97501,42.304155,-122.851003,8917,2017,Grass,Basket,9,4327,2.57,True,0,0,31,29.0,-0.2222222222222222,3.25,4
343,Beaver Creek Mini DGC,Strasburg,PA,17579,39.972249,-76.151508,998,1995,Concrete,Basket,18,4326,2.57,True,1,0,57,35.9,-1.1722222222222223,4.44,8
2481,Heritage Point DGC,Dalton,GA,30720,34.794206,-84.939723,3466,2009,Concrete,Chainstar,18,4325,2.57,True,2,2,55,48.8,-0.3444444444444446,3.17,23
5797,The Backyard,Traverse City,MI,49686,44.735575,-85.562646,5574,2012,Carpet,DISCatcher,24,4324,2.57,False,0,2,72,57.0,-0.625,3.75,2
5324,Shorewood Park,Shorewood,IL,60435,41.510627,-88.198488,409,1981,Concrete,Chainstar,18,4321,2.57,False,0,2,57,48.5,-0.4722222222222222,2.92,31
4748,Red Arrow Park,Oshkosh,WI,54901,44.027862,-88.576713,1732,2003,Concrete,Mach 3,18,4319,2.57,False,1,0,55,41.6,-0.7444444444444444,1.6,20
988,Chandler Park - Moose Run,Tulsa,OK,74050,36.12856,-96.075987,3253,2009,Grass,DISCatcher,18,4314,2.57,False,1,1,59,44.5,-0.8055555555555556,3.5,13
569,Braem Park,Marshfield,WI,54449,44.674917,-90.164682,1036,2004,Concrete,Chainstar,18,4313,2.57,True,0,2,69,47.5,-1.1944444444444444,3.0,7
1319,Crookston DGC,Fletcher,NC,28732,35.425366,-82.495766,678,2001,Gravel,DISCatcher,9,4312,2.57,False,0,0,39,27.6,-1.2666666666666666,1.78,23
2188,Golden Hills DGC - Black Bear,Christiansburg,VA,24073,37.170675,-80.414238,6164,2013,Natural,DISCatcher,19,4311,2.57,True,2,2,57,49.0,-0.42105263157894735,2.65,10
2424,Hawk's Landing DGC,Eden,NY,14075,42.6355,-78.8584,5359,2012,Concrete,DISCatcher,18,4309,2.57,True,0,2,54,47.5,-0.3611111111111111,4.15,13
6682,Woodchuck Ridge DGC,Nashport,OH,43830,40.009,-82.1044,3530,2009,Natural,DISCatcher,18,4302,2.56,False,1,0,61,41.6,-1.0777777777777777,3.07,7
5281,Shawnee Trails DGC,Bartlesville,OK,74003,36.73036,-95.970909,9079,2016,Concrete,DISCatcher,18,4302,2.56,False,0,2,54,47.5,-0.3611111111111111,3.75,2
6768,Zimmerman City Park,Zimmerman,MN,55398,45.437825,-93.585572,6915,2014,Natural,DISCatcher,18,4294,2.56,False,0,1,54,44.4,-0.5333333333333334,3.05,10
1777,Ennis DGC,Ennis,TX,75119,32.322106,-96.661075,8628,2016,Gravel,Mach New 2,18,4290,2.56,False,1,1,54,44.4,-0.5333333333333334,2.63,4
4022,New Hanover Presbyterian Church,Mechanicsville,VA,23116,37.67448,-77.378415,3018,2008,Dirt,Lightning DB-5,18,4289,2.56,True,1,1,59,41.6,-0.9666666666666666,2.64,18
6607,Williamsburg Park - FunBurg,Williamsburg,OH,45176,39.049694,-84.049466,11083,2019,Mixed,Mixed,24,4289,2.56,False,0,1,78,53.7,-1.0125,2.5,1
4614,Portland Lunchtime DGC,Portland,OR,97219,45.473222,-122.70197,582,2000,Mixed,DISCatcher,15,4288,2.56,True,2,0,46,34.8,-0.7466666666666668,2.64,42
3017,Kiwanis DGC,Goldsboro,NC,27534,35.369628,-77.940083,6152,2013,Concrete,DISCatcher,18,4287,2.56,True,1,1,55,46.1,-0.49444444444444435,3.15,10
2659,Hudson Park,Ferguson,MO,63135,38.762176,-90.288075,7662,2015,Natural,Gateway Titan,18,4287,2.56,False,1,1,54,44.4,-0.5333333333333334,3.19,8
2018,Fox Hill Fliers,Kansas City,MO,64155,39.285446,-94.569942,5700,2012,Gravel,Lightning DB-5,18,4284,2.56,True,0,2,54,47.4,-0.36666666666666675,3.1,10
267,Ballard DGC,Tupelo,MS,38801,34.248574,-88.768278,983,2006,Mixed,Mach 3,18,4284,2.56,False,0,0,56,49.9,-0.33888888888888896,2.75,8
3792,Mills Park,Woods Cross,UT,84087,40.872513,-111.914522,7626,2015,Mixed,Mach X,12,4278,2.56,True,1,0,36,27.6,-0.6999999999999998,3.07,7
2095,Fullerton-Garrity DGC,Corsicana,TX,75110,32.119256,-96.491257,3099,2008,Grass,DGA,9,4275,2.55,False,0,0,36,28.8,-0.7999999999999999,2.47,16
